Label (Grouping),Arkansas!!Total!!Estimate,"Arkansas County, Arkansas!!Total!!Estimate","Ashley County, Arkansas!!Total!!Estimate","Baxter County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Estimate","Boone County, Arkansas!!Total!!Estimate","Bradley County, Arkansas!!Total!!Estimate","Calhoun County, Arkansas!!Total!!Estimate","Carroll County, Arkansas!!Total!!Estimate","Chicot County, Arkansas!!Total!!Estimate","Clark County, Arkansas!!Total!!Estimate","Clay County, Arkansas!!Total!!Estimate","Cleburne County, Arkansas!!Total!!Estimate","Cleveland County, Arkansas!!Total!!Estimate","Columbia County, Arkansas!!Total!!Estimate","Conway County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Estimate","Crawford County, Arkansas!!Total!!Estimate","Crittenden County, Arkansas!!Total!!Estimate","Cross County, Arkansas!!Total!!Estimate","Dallas County, Arkansas!!Total!!Estimate","Desha County, Arkansas!!Total!!Estimate","Drew County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Estimate","Franklin County, Arkansas!!Total!!Estimate","Fulton County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Estimate","Grant County, Arkansas!!Total!!Estimate","Greene County, Arkansas!!Total!!Estimate","Hempstead County, Arkansas!!Total!!Estimate","Hot Spring County, Arkansas!!Total!!Estimate","Howard County, Arkansas!!Total!!Estimate","Independence County, Arkansas!!Total!!Estimate","Izard County, Arkansas!!Total!!Estimate","Jackson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Estimate","Johnson County, Arkansas!!Total!!Estimate","Lafayette County, Arkansas!!Total!!Estimate","Lawrence County, Arkansas!!Total!!Estimate","Lee County, Arkansas!!Total!!Estimate","Lincoln County, Arkansas!!Total!!Estimate","Little River County, Arkansas!!Total!!Estimate","Logan County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Estimate","Madison County, Arkansas!!Total!!Estimate","Marion County, Arkansas!!Total!!Estimate","Miller County, Arkansas!!Total!!Estimate","Mississippi County, Arkansas!!Total!!Estimate","Monroe County, Arkansas!!Total!!Estimate","Montgomery County, Arkansas!!Total!!Estimate","Nevada County, Arkansas!!Total!!Estimate","Newton County, Arkansas!!Total!!Estimate","Ouachita County, Arkansas!!Total!!Estimate","Perry County, Arkansas!!Total!!Estimate","Phillips County, Arkansas!!Total!!Estimate","Pike County, Arkansas!!Total!!Estimate","Poinsett County, Arkansas!!Total!!Estimate","Polk County, Arkansas!!Total!!Estimate","Pope County, Arkansas!!Total!!Estimate","Prairie County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Estimate","Randolph County, Arkansas!!Total!!Estimate","St. Francis County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Estimate","Scott County, Arkansas!!Total!!Estimate","Searcy County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Estimate","Sevier County, Arkansas!!Total!!Estimate","Sharp County, Arkansas!!Total!!Estimate","Stone County, Arkansas!!Total!!Estimate","Union County, Arkansas!!Total!!Estimate","Van Buren County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Estimate","Woodruff County, Arkansas!!Total!!Estimate","Yell County, Arkansas!!Total!!Estimate"
        High school graduate or higher,"330,715","2,022","2,102","3,508","35,096","3,822","1,350",568,"2,316",897,"1,834","1,606","2,410",785,"2,143","1,980","13,114","6,757","5,148","1,606",597,"1,263","1,769","15,072","1,990","1,039","9,983","2,137","5,281","2,135","3,623","1,618","4,125","1,227","2,090","7,109","2,505",640,"1,743","1,098","1,729","1,591","2,253","9,364","1,529","1,411","4,630","4,362",635,659,842,715,"2,227","1,227","1,776","1,118","2,269","1,801","6,009",744,"46,513","1,859","2,980","15,534",906,730,"12,891","1,367","1,437",982,"4,034","1,185","26,289","8,169",625,"2,215"
        Bachelor's degree or higher,"103,690",354,478,"1,072","15,360",696,154,53,595,219,467,318,290,161,655,644,"4,760","1,356","1,285",244,123,234,559,"6,039",493,178,"2,535",577,"1,219",504,679,303,"1,337",225,256,"1,337",521,139,335,68,178,297,335,"2,248",256,336,926,887,44,128,104,74,370,437,385,331,409,334,"2,210",138,"20,129",422,491,"5,571",203,152,"4,248",141,234,223,"1,109",194,"10,891","2,021",110,302
    Population 45 to 64 years,"750,442","4,770","5,332","11,175","62,939","9,821","2,678","1,495","7,527","2,871","4,895","3,900","6,853","2,266","5,394","5,819","24,270","16,448","11,989","4,336","1,928","2,960","4,298","28,135","4,663","3,461","26,122","5,094","11,326","5,627","9,088","3,187","9,797","3,975","4,359","17,667","6,831","1,954","4,252","2,337","3,522","3,168","5,996","18,454","4,433","5,030","11,226","10,277","1,883","2,596","2,366","2,142","6,699","2,847","4,624","2,950","6,307","5,211","15,366","2,275","98,272","4,531","6,246","30,228","2,717","2,201","32,355","4,147","4,643","3,489","10,453","4,760","50,076","19,716","1,797","5,600"
        High school graduate or higher,"656,291","4,156","4,606","10,083","55,638","8,641","2,247","1,188","6,526","2,424","4,477","3,366","6,075","2,082","4,885","5,165","22,155","13,434","10,103","3,674","1,676","2,356","3,926","25,702","3,914","2,940","23,542","4,551","10,220","4,509","8,119","2,817","8,380","3,319","3,643","15,673","5,411","1,590","3,587","1,909","2,782","2,871","5,396","16,720","3,827","4,155","9,823","8,477","1,545","2,157","2,219","1,947","5,786","2,588","3,889","2,458","5,170","4,276","13,131","2,029","90,125","3,668","5,456","27,239","2,351","1,769","27,304","2,948","3,966","2,848","8,947","4,210","42,276","17,113","1,623","4,493"
        Bachelor's degree or higher,"168,181",828,607,"1,770","20,005","1,921",333,129,"1,652",353,"1,311",579,"1,414",468,917,"1,065","6,228","2,853","1,875",673,254,447,"1,006","8,208",430,479,"5,920","1,064","1,877",683,"1,378",398,"1,525",579,566,"3,348","1,179",311,638,190,231,436,847,"3,897",516,656,"1,895","1,786",155,504,236,333,771,400,541,484,604,773,"3,264",356,"33,608",573,531,"7,492",333,167,"6,673",603,455,457,"2,160",688,"15,366","3,895",267,767
    Population 65 years and over,"510,117","3,406","4,095","12,998","36,834","7,838","1,990","1,091","6,449","2,171","3,688","3,139","6,725","1,657","4,085","4,008","14,967","10,592","6,694","3,061","1,639","2,164","3,282","15,584","3,543","3,202","23,496","3,196","7,229","3,937","6,309","2,374","6,517","3,461","3,021","11,786","4,351","1,593","3,220","1,732","2,049","2,659","4,332","9,951","3,116","4,651","7,197","6,089","1,573","2,446","1,702","2,075","4,811","2,058","3,409","2,157","4,269","4,564","9,858","1,937","60,942","3,565","4,170","21,655","2,150","2,025","20,470","2,379","4,493","3,406","6,914","4,290","27,557","12,825","1,534","3,715"
        High school graduate or higher,"421,976","2,600","3,281","11,433","32,751","6,603","1,553",877,"5,791","1,476","3,112","2,162","5,520","1,393","3,274","3,126","12,101","8,630","4,887","2,285","1,370","1,519","2,435","13,221","2,681","2,595","20,587","2,716","6,022","3,385","5,227","1,909","5,143","2,661","2,243","9,850","3,467","1,076","2,289","1,083","1,593","2,225","3,304","8,213","2,386","3,992","5,795","4,257","1,125","2,045","1,442","1,562","3,904","1,678","2,271","1,725","3,176","3,887","7,896","1,500","54,151","2,892","3,120","19,336","1,387","1,499","16,629","2,002","3,677","2,612","5,731","3,634","22,981","10,257","1,034","2,724"
        Bachelor's degree or higher,"106,042",349,380,"2,035","10,625","1,319",466,167,"1,587",418,884,264,"1,184",147,692,474,"3,119","1,908",993,405,109,224,545,"4,422",238,422,"5,787",534,898,692,"1,035",263,"1,134",559,324,"2,406",563,180,281,155,341,300,302,"1,528",419,842,"1,547",952,259,371,298,384,697,250,513,312,409,697,"2,286",158,"19,596",414,598,"5,028",188,269,"4,221",437,509,295,"1,292",896,"7,873","2,494",260,620
RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    White alone,"1,592,371","9,140","10,102","30,603","149,272","25,247","5,014","2,870","18,082","3,315","9,424","10,038","17,958","4,926","9,279","12,596","58,490","38,426","14,954","8,646","2,874","4,030","8,382","65,488","11,552","8,562","63,419","12,056","28,896","8,948","20,586","6,221","23,259","9,295","9,681","20,447","15,893","3,097","10,828","3,004","6,483","6,644","14,109","43,707","10,663","12,222","21,634","17,369","2,932","6,282","3,778","5,346","9,916","6,853","4,823","6,743","14,544","12,884","37,627","5,158","160,249","11,684","7,928","74,731","6,316","5,190","65,960","7,433","11,858","8,807","17,762","11,688","115,329","47,626","3,280","11,913"
