Label (Grouping),Arkansas!!Male!!Estimate,"Arkansas County, Arkansas!!Male!!Estimate","Ashley County, Arkansas!!Male!!Estimate","Baxter County, Arkansas!!Male!!Estimate","Benton County, Arkansas!!Male!!Estimate","Boone County, Arkansas!!Male!!Estimate","Bradley County, Arkansas!!Male!!Estimate","Calhoun County, Arkansas!!Male!!Estimate","Carroll County, Arkansas!!Male!!Estimate","Chicot County, Arkansas!!Male!!Estimate","Clark County, Arkansas!!Male!!Estimate","Clay County, Arkansas!!Male!!Estimate","Cleburne County, Arkansas!!Male!!Estimate","Cleveland County, Arkansas!!Male!!Estimate","Columbia County, Arkansas!!Male!!Estimate","Conway County, Arkansas!!Male!!Estimate","Craighead County, Arkansas!!Male!!Estimate","Crawford County, Arkansas!!Male!!Estimate","Crittenden County, Arkansas!!Male!!Estimate","Cross County, Arkansas!!Male!!Estimate","Dallas County, Arkansas!!Male!!Estimate","Desha County, Arkansas!!Male!!Estimate","Drew County, Arkansas!!Male!!Estimate","Faulkner County, Arkansas!!Male!!Estimate","Franklin County, Arkansas!!Male!!Estimate","Fulton County, Arkansas!!Male!!Estimate","Garland County, Arkansas!!Male!!Estimate","Grant County, Arkansas!!Male!!Estimate","Greene County, Arkansas!!Male!!Estimate","Hempstead County, Arkansas!!Male!!Estimate","Hot Spring County, Arkansas!!Male!!Estimate","Howard County, Arkansas!!Male!!Estimate","Independence County, Arkansas!!Male!!Estimate","Izard County, Arkansas!!Male!!Estimate","Jackson County, Arkansas!!Male!!Estimate","Jefferson County, Arkansas!!Male!!Estimate","Johnson County, Arkansas!!Male!!Estimate","Lafayette County, Arkansas!!Male!!Estimate","Lawrence County, Arkansas!!Male!!Estimate","Lee County, Arkansas!!Male!!Estimate","Lincoln County, Arkansas!!Male!!Estimate","Little River County, Arkansas!!Male!!Estimate","Logan County, Arkansas!!Male!!Estimate","Lonoke County, Arkansas!!Male!!Estimate","Madison County, Arkansas!!Male!!Estimate","Marion County, Arkansas!!Male!!Estimate","Miller County, Arkansas!!Male!!Estimate","Mississippi County, Arkansas!!Male!!Estimate","Monroe County, Arkansas!!Male!!Estimate","Montgomery County, Arkansas!!Male!!Estimate","Nevada County, Arkansas!!Male!!Estimate","Newton County, Arkansas!!Male!!Estimate","Ouachita County, Arkansas!!Male!!Estimate","Perry County, Arkansas!!Male!!Estimate","Phillips County, Arkansas!!Male!!Estimate","Pike County, Arkansas!!Male!!Estimate","Poinsett County, Arkansas!!Male!!Estimate","Polk County, Arkansas!!Male!!Estimate","Pope County, Arkansas!!Male!!Estimate","Prairie County, Arkansas!!Male!!Estimate","Pulaski County, Arkansas!!Male!!Estimate","Randolph County, Arkansas!!Male!!Estimate","St. Francis County, Arkansas!!Male!!Estimate","Saline County, Arkansas!!Male!!Estimate","Scott County, Arkansas!!Male!!Estimate","Searcy County, Arkansas!!Male!!Estimate","Sebastian County, Arkansas!!Male!!Estimate","Sevier County, Arkansas!!Male!!Estimate","Sharp County, Arkansas!!Male!!Estimate","Stone County, Arkansas!!Male!!Estimate","Union County, Arkansas!!Male!!Estimate","Van Buren County, Arkansas!!Male!!Estimate","Washington County, Arkansas!!Male!!Estimate","White County, Arkansas!!Male!!Estimate","Woodruff County, Arkansas!!Male!!Estimate","Yell County, Arkansas!!Male!!Estimate"
    Population 45 to 64 years,"365,142","2,261","2,547","5,276","30,981","4,775","1,285",824,"3,816","1,453","2,283","1,937","3,464","1,120","2,579","2,826","11,518","7,982","5,564","2,141",958,"1,386","2,016","13,713","2,285","1,663","12,498","2,430","5,553","2,660","4,765","1,550","4,808","2,106","2,128","8,572","3,333",914,"2,090","1,161","2,110","1,428","2,924","9,056","2,261","2,339","5,391","4,940",910,"1,281","1,153","1,099","3,120","1,432","2,096","1,505","3,073","2,507","7,602","1,098","46,005","2,244","3,315","14,990","1,387","1,121","15,826","2,090","2,248","1,699","5,000","2,368","24,855","9,692",927,"2,829"
        High school graduate or higher,"312,287","1,891","2,173","4,602","26,793","4,035","1,024",649,"3,188","1,169","2,051","1,610","2,960",999,"2,357","2,582","10,433","6,465","4,494","1,745",797,"1,167","1,796","12,356","1,878","1,292","11,148","2,084","4,841","2,149","4,181","1,402","4,046","1,587","1,688","7,464","2,628",719,"1,724",866,"1,554","1,247","2,588","8,166","1,900","1,877","4,507","3,906",718,934,"1,080",984,"2,632","1,291","1,715","1,191","2,428","1,996","6,432",948,"41,481","1,715","2,841","13,241","1,128",818,"13,172","1,365","1,777","1,319","4,350","2,067","20,803","8,132",840,"2,111"
        Bachelor's degree or higher,"74,788",413,132,823,"10,060",832,107,82,772,130,498,280,623,175,366,553,"2,728","1,528",839,206,85,119,285,"3,533",193,178,"2,686",486,775,236,629,174,605,327,296,"1,129",549,143,228,71,69,148,344,"1,597",230,266,801,701,38,165,49,175,294,172,155,233,241,304,"1,379",99,"14,915",173,190,"3,365",172,39,"3,135",311,167,198,"1,000",304,"7,342","1,679",162,302
    Population 65 years and over,"226,555","1,534","1,837","6,036","16,567","3,475",867,463,"2,951",899,"1,597","1,380","3,146",760,"1,747","1,826","6,325","4,854","2,863","1,336",702,939,"1,378","6,729","1,551","1,493","10,480","1,486","3,135","1,749","2,872","1,060","2,851","1,637","1,333","5,125","1,995",723,"1,466",750,938,"1,271","2,014","4,446","1,463","2,234","3,154","2,642",689,"1,161",774,"1,015","2,082",957,"1,482",981,"1,816","2,117","4,346",891,"25,944","1,528","1,867","9,926","1,017","1,036","8,926","1,101","2,128","1,565","3,035","1,966","12,099","5,704",663,"1,660"
        High school graduate or higher,"187,295","1,195","1,515","5,232","14,987","2,930",646,389,"2,637",568,"1,378",947,"2,531",702,"1,309","1,371","5,382","3,714","2,209",880,619,546,999,"5,729","1,135","1,200","9,224","1,333","2,496","1,511","2,433",792,"2,204","1,370",943,"4,200","1,509",495,972,466,728,"1,019","1,536","3,789","1,052","1,871","2,532","1,837",497,941,606,814,"1,735",845,974,789,"1,362","1,751","3,578",604,"23,610","1,256","1,367","8,849",613,753,"7,102",894,"1,750","1,177","2,445","1,626","9,889","4,746",422,"1,238"
        Bachelor's degree or higher,"55,102",171,205,"1,173","6,523",764,185,69,880,187,407,131,654,87,396,235,"1,523","1,046",454,195,30,118,206,"2,092",141,172,"3,188",280,388,336,480,89,562,308,164,820,294,81,119,33,108,147,162,824,149,455,749,333,123,171,153,176,490,195,221,144,150,333,"1,275",53,"9,996",231,343,"2,994",77,143,"2,073",199,255,169,614,336,"4,012","1,503",167,393
RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    White alone,"768,392","4,438","4,749","14,497","71,677","12,103","2,325","1,415","8,802","1,683","4,488","4,801","8,711","2,410","4,434","6,034","27,951","18,621","7,216","4,147","1,405","1,884","4,058","31,783","5,546","4,117","29,699","5,859","13,811","4,226","10,288","2,942","11,046","4,591","4,685","10,352","7,726","1,521","5,247","1,848","3,760","3,152","6,871","21,030","5,373","5,944","10,576","8,402","1,369","3,102","1,728","2,657","4,735","3,362","2,413","3,248","6,926","6,240","18,148","2,459","76,400","5,611","4,498","36,271","3,146","2,638","31,538","3,621","5,682","4,262","8,623","5,632","55,898","22,597","1,550","5,794"
        High school graduate or higher,"673,890","3,826","4,208","12,585","64,999","10,452","1,850","1,256","7,585","1,301","3,993","3,975","7,373","2,176","3,838","5,273","25,340","15,600","6,148","3,274","1,217","1,509","3,582","29,185","4,774","3,393","26,600","5,212","11,940","3,789","8,994","2,563","9,498","3,787","3,849","8,979","6,101","1,204","4,274","1,483","2,974","2,771","5,965","18,991","4,357","4,994","9,113","6,795","1,072","2,409","1,523","2,334","4,290","3,066","2,033","2,828","5,635","5,285","15,408","2,024","70,944","4,682","3,811","32,728","2,454","2,159","27,904","2,969","4,458","3,327","7,615","4,665","50,199","19,101","1,299","4,723"
        Bachelor's degree or higher,"184,003",799,475,"2,648","24,578","1,942",322,139,"1,810",297,"1,148",635,"1,351",298,"1,028",993,"7,089","3,603","1,520",504,194,314,822,"9,257",620,481,"7,495","1,091","1,912",775,"1,505",436,"1,905",681,624,"1,313","1,272",209,535,161,201,462,786,"3,957",486,972,"1,991","1,038",198,349,141,356,924,533,496,604,623,804,"4,045",240,"32,659",593,403,"9,455",303,256,"7,985",555,529,567,"2,174",759,"20,280","4,270",340,888
