Label (Grouping),Arkansas!!Female!!Estimate,"Arkansas County, Arkansas!!Female!!Estimate","Ashley County, Arkansas!!Female!!Estimate","Baxter County, Arkansas!!Female!!Estimate","Benton County, Arkansas!!Female!!Estimate","Boone County, Arkansas!!Female!!Estimate","Bradley County, Arkansas!!Female!!Estimate","Calhoun County, Arkansas!!Female!!Estimate","Carroll County, Arkansas!!Female!!Estimate","Chicot County, Arkansas!!Female!!Estimate","Clark County, Arkansas!!Female!!Estimate","Clay County, Arkansas!!Female!!Estimate","Cleburne County, Arkansas!!Female!!Estimate","Cleveland County, Arkansas!!Female!!Estimate","Columbia County, Arkansas!!Female!!Estimate","Conway County, Arkansas!!Female!!Estimate","Craighead County, Arkansas!!Female!!Estimate","Crawford County, Arkansas!!Female!!Estimate","Crittenden County, Arkansas!!Female!!Estimate","Cross County, Arkansas!!Female!!Estimate","Dallas County, Arkansas!!Female!!Estimate","Desha County, Arkansas!!Female!!Estimate","Drew County, Arkansas!!Female!!Estimate","Faulkner County, Arkansas!!Female!!Estimate","Franklin County, Arkansas!!Female!!Estimate","Fulton County, Arkansas!!Female!!Estimate","Garland County, Arkansas!!Female!!Estimate","Grant County, Arkansas!!Female!!Estimate","Greene County, Arkansas!!Female!!Estimate","Hempstead County, Arkansas!!Female!!Estimate","Hot Spring County, Arkansas!!Female!!Estimate","Howard County, Arkansas!!Female!!Estimate","Independence County, Arkansas!!Female!!Estimate","Izard County, Arkansas!!Female!!Estimate","Jackson County, Arkansas!!Female!!Estimate","Jefferson County, Arkansas!!Female!!Estimate","Johnson County, Arkansas!!Female!!Estimate","Lafayette County, Arkansas!!Female!!Estimate","Lawrence County, Arkansas!!Female!!Estimate","Lee County, Arkansas!!Female!!Estimate","Lincoln County, Arkansas!!Female!!Estimate","Little River County, Arkansas!!Female!!Estimate","Logan County, Arkansas!!Female!!Estimate","Lonoke County, Arkansas!!Female!!Estimate","Madison County, Arkansas!!Female!!Estimate","Marion County, Arkansas!!Female!!Estimate","Miller County, Arkansas!!Female!!Estimate","Mississippi County, Arkansas!!Female!!Estimate","Monroe County, Arkansas!!Female!!Estimate","Montgomery County, Arkansas!!Female!!Estimate","Nevada County, Arkansas!!Female!!Estimate","Newton County, Arkansas!!Female!!Estimate","Ouachita County, Arkansas!!Female!!Estimate","Perry County, Arkansas!!Female!!Estimate","Phillips County, Arkansas!!Female!!Estimate","Pike County, Arkansas!!Female!!Estimate","Poinsett County, Arkansas!!Female!!Estimate","Polk County, Arkansas!!Female!!Estimate","Pope County, Arkansas!!Female!!Estimate","Prairie County, Arkansas!!Female!!Estimate","Pulaski County, Arkansas!!Female!!Estimate","Randolph County, Arkansas!!Female!!Estimate","St. Francis County, Arkansas!!Female!!Estimate","Saline County, Arkansas!!Female!!Estimate","Scott County, Arkansas!!Female!!Estimate","Searcy County, Arkansas!!Female!!Estimate","Sebastian County, Arkansas!!Female!!Estimate","Sevier County, Arkansas!!Female!!Estimate","Sharp County, Arkansas!!Female!!Estimate","Stone County, Arkansas!!Female!!Estimate","Union County, Arkansas!!Female!!Estimate","Van Buren County, Arkansas!!Female!!Estimate","Washington County, Arkansas!!Female!!Estimate","White County, Arkansas!!Female!!Estimate","Woodruff County, Arkansas!!Female!!Estimate","Yell County, Arkansas!!Female!!Estimate"
        High school graduate or higher,"169,843","1,077","1,154","1,863","17,255","1,990",663,333,"1,247",474,"1,032",753,"1,308",466,"1,223","1,006","6,684","3,421","2,816",904,342,667,844,"7,662",962,504,"5,343","1,101","2,775","1,312","1,753",933,"2,097",604,"1,056","3,666","1,258",316,896,295,469,865,"1,119","5,012",736,726,"2,197","2,280",335,393,416,358,"1,260",512,956,561,"1,146",933,"3,089",424,"24,838",906,"1,040","8,194",426,352,"6,650",661,843,462,"2,220",632,"13,194","4,179",369,"1,035"
        Bachelor's degree or higher,"59,006",242,344,553,"7,797",499,103,45,449,127,266,183,107,111,410,498,"2,707",682,788,137,54,165,238,"3,403",246,110,"1,622",321,839,316,348,135,825,151,150,905,268,95,230,45,150,171,212,"1,436",161,156,487,563,26,85,104,74,241,180,233,183,276,248,"1,422",116,"11,384",266,252,"3,524",114,78,"2,380",90,141,125,649,112,"5,407","1,293",68,85
    Population 45 to 64 years,"385,300","2,509","2,785","5,899","31,958","5,046","1,393",671,"3,711","1,418","2,612","1,963","3,389","1,146","2,815","2,993","12,752","8,466","6,425","2,195",970,"1,574","2,282","14,422","2,378","1,798","13,624","2,664","5,773","2,967","4,323","1,637","4,989","1,869","2,231","9,095","3,498","1,040","2,162","1,176","1,412","1,740","3,072","9,398","2,172","2,691","5,835","5,337",973,"1,315","1,213","1,043","3,579","1,415","2,528","1,445","3,234","2,704","7,764","1,177","52,267","2,287","2,931","15,238","1,330","1,080","16,529","2,057","2,395","1,790","5,453","2,392","25,221","10,024",870,"2,771"
        High school graduate or higher,"344,004","2,265","2,433","5,481","28,845","4,606","1,223",539,"3,338","1,255","2,426","1,756","3,115","1,083","2,528","2,583","11,722","6,969","5,609","1,929",879,"1,189","2,130","13,346","2,036","1,648","12,394","2,467","5,379","2,360","3,938","1,415","4,334","1,732","1,955","8,209","2,783",871,"1,863","1,043","1,228","1,624","2,808","8,554","1,927","2,278","5,316","4,571",827,"1,223","1,139",963,"3,154","1,297","2,174","1,267","2,742","2,280","6,699","1,081","48,644","1,953","2,615","13,998","1,223",951,"14,132","1,583","2,189","1,529","4,597","2,143","21,473","8,981",783,"2,382"
        Bachelor's degree or higher,"93,393",415,475,947,"9,945","1,089",226,47,880,223,813,299,791,293,551,512,"3,500","1,325","1,036",467,169,328,721,"4,675",237,301,"3,234",578,"1,102",447,749,224,920,252,270,"2,219",630,168,410,119,162,288,503,"2,300",286,390,"1,094","1,085",117,339,187,158,477,228,386,251,363,469,"1,885",257,"18,693",400,341,"4,127",161,128,"3,538",292,288,259,"1,160",384,"8,024","2,216",105,465
    Population 65 years and over,"283,562","1,872","2,258","6,962","20,267","4,363","1,123",628,"3,498","1,272","2,091","1,759","3,579",897,"2,338","2,182","8,642","5,738","3,831","1,725",937,"1,225","1,904","8,855","1,992","1,709","13,016","1,710","4,094","2,188","3,437","1,314","3,666","1,824","1,688","6,661","2,356",870,"1,754",982,"1,111","1,388","2,318","5,505","1,653","2,417","4,043","3,447",884,"1,285",928,"1,060","2,729","1,101","1,927","1,176","2,453","2,447","5,512","1,046","34,998","2,037","2,303","11,729","1,133",989,"11,544","1,278","2,365","1,841","3,879","2,324","15,458","7,121",871,"2,055"
        High school graduate or higher,"234,681","1,405","1,766","6,201","17,764","3,673",907,488,"3,154",908,"1,734","1,215","2,989",691,"1,965","1,755","6,719","4,916","2,678","1,405",751,973,"1,436","7,492","1,546","1,395","11,363","1,383","3,526","1,874","2,794","1,117","2,939","1,291","1,300","5,650","1,958",581,"1,317",617,865,"1,206","1,768","4,424","1,334","2,121","3,263","2,420",628,"1,104",836,748,"2,169",833,"1,297",936,"1,814","2,136","4,318",896,"30,541","1,636","1,753","10,487",774,746,"9,527","1,108","1,927","1,435","3,286","2,008","13,092","5,511",612,"1,486"
        Bachelor's degree or higher,"50,940",178,175,862,"4,102",555,281,98,707,231,477,133,530,60,296,239,"1,596",862,539,210,79,106,339,"2,330",97,250,"2,599",254,510,356,555,174,572,251,160,"1,586",269,99,162,122,233,153,140,704,270,387,798,619,136,200,145,208,207,55,292,168,259,364,"1,011",105,"9,600",183,255,"2,034",111,126,"2,148",238,254,126,678,560,"3,861",991,93,227
RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    White alone,"823,979","4,702","5,353","16,106","77,595","13,144","2,689","1,455","9,280","1,632","4,936","5,237","9,247","2,516","4,845","6,562","30,539","19,805","7,738","4,499","1,469","2,146","4,324","33,705","6,006","4,445","33,720","6,197","15,085","4,722","10,298","3,279","12,213","4,704","4,996","10,095","8,167","1,576","5,581","1,156","2,723","3,492","7,238","22,677","5,290","6,278","11,058","8,967","1,563","3,180","2,050","2,689","5,181","3,491","2,410","3,495","7,618","6,644","19,479","2,699","83,849","6,073","3,430","38,460","3,170","2,552","34,422","3,812","6,176","4,545","9,139","6,056","59,431","25,029","1,730","6,119"
